,Market Name,1,2,3,4,5,Max,Volume,Last price
8,BCHABCBTC,1.36,1.43,1.23,1.24,1.17,1.43,739.01,0.03120600
9,XMRBTC,1.33,1.43,1.24,1.24,1.17,1.43,736.55,0.00678500
10,STXBTC,1.33,1.43,1.26,1.27,1.19,1.43,692.78,0.00002407
7,EOSBTC,1.37,1.42,1.21,1.23,1.17,1.42,879.35,0.00037040
6,LTCBTC,1.34,1.37,1.22,1.24,1.17,1.37,991.61,0.00660300
11,TRXBTC,1.32,1.37,1.24,1.24,1.16,1.37,595.72,0.00000213
12,LINKBTC,1.3,1.36,1.24,1.23,1.17,1.36,524.05,0.00029183
16,QTUMBTC,1.31,1.36,1.25,1.23,1.17,1.36,332.92,0.00024020
17,NKNBTC,1.31,1.36,1.25,1.23,1.18,1.36,327.03,0.00000313
18,HBARBTC,1.32,1.36,1.26,1.24,1.19,1.36,313.36,0.00000385
5,XRPBTC,1.31,1.35,1.19,1.23,1.16,1.35,1109.48,0.00003173
13,NEOBTC,1.3,1.35,1.24,1.23,1.18,1.35,452.23,0.00121600
14,FETBTC,1.3,1.35,1.24,1.23,1.19,1.35,407.34,0.00000457
15,MATICBTC,1.31,1.35,1.24,1.22,1.17,1.35,398.31,0.00000153
19,XLMBTC,1.3,1.35,1.27,1.25,1.2,1.35,308.02,0.00000748
20,MTLBTC,1.3,1.34,1.26,1.24,1.19,1.34,303.79,0.00004157
21,ERDBTC,1.3,1.34,1.26,1.25,1.2,1.34,275.6,0.00000022
22,REPBTC,1.3,1.34,1.27,1.26,1.2,1.34,257.54,0.00123700
23,ATOMBTC,1.31,1.34,1.27,1.25,1.21,1.34,243.7,0.00038830
112,FUELBTC,1.3,1.23,1.34,1.31,1.23,1.34,14.69,0.00000037
113,STORMBTC,1.3,1.23,1.34,1.31,1.23,1.34,14.37,0.00000015
114,PPTBTC,1.3,1.22,1.34,1.3,1.23,1.34,13.9,0.00005626
115,ELFBTC,1.3,1.23,1.34,1.31,1.22,1.34,13.43,0.00000981
118,GVTBTC,1.3,1.23,1.34,1.3,1.22,1.34,12.29,0.00012030
124,ZENBTC,1.3,1.23,1.34,1.3,1.22,1.34,11.22,0.00052100
127,LUNBTC,1.3,1.23,1.34,1.3,1.22,1.34,10.8,0.00011630
128,BTGBTC,1.3,1.23,1.34,1.3,1.22,1.34,10.67,0.00089400
129,POLYBTC,1.3,1.23,1.34,1.3,1.22,1.34,10.23,0.00000296
